Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.623","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.471","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.207","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.345","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.491","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.838","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.353","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.692","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.017","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.818","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.748","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.836","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.012","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.84","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.929","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.037","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.946","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.161","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.886","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.916","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.148","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.871","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.007","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.948","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.026","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.333","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.572","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.366","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.191","Fc","Calculated data"
